title,position_group,company,salary_line_extracted,salary_min_rub,salary_max_rub
Администратор в груминг салон,Администратор pet-сервиса,DOODLES,"70 000 – 80 000 ₽ за месяц, на руки",70000.0,80000.0
Администратор в груминг-салон,Администратор pet-сервиса,Businka,"70 000 – 80 000 ₽ за месяц, на руки",70000.0,80000.0
Администратор в груминг салон,Администратор pet-сервиса,ИП Сушков Александр Евгеньевич,"55 000 – 75 000 ₽ за месяц, на руки",55000.0,75000.0
Администратор зоосалона (груминг),Администратор pet-сервиса,Груминг салон me my,"от 40 000 ₽ за месяц, на руки",40000.0,
Администратор Груминг студии,Администратор pet-сервиса,Вальтер,"60 000 – 80 000 ₽ за месяц, до вычета налогов",60000.0,80000.0
Администратор Международной Академии Груминга,Администратор pet-сервиса,ООО МИЛОРД,"до 80 000 ₽ за месяц, на руки",,80000.0
Администратор в груминг салон,Администратор pet-сервиса,ИП Еропкина Кристина Юрьевна,"55 000 – 75 000 ₽ за месяц, на руки",55000.0,75000.0
Администратор в Груминг салон,Администратор pet-сервиса,БЛЭКГРУМЕР.РФ,"55 000 – 80 000 ₽ за месяц, на руки",55000.0,80000.0
Администратор в груминг салон,Администратор pet-сервиса,ИП Рудакова Ульяна Андреевна,"до 75 000 ₽ за месяц, на руки",,75000.0
Администратор в груминг-салон,Администратор pet-сервиса,Picassogroom,"от 60 000 ₽ за месяц, на руки",60000.0,
Грумер,Грумер,ГРУМИНГ САЛОН ПОМ ХАРДИ,"100 000 – 150 000 ₽ за месяц, на руки",100000.0,150000.0
Грумер в груминг-салон,Грумер,ООО Шелби,"100 000 – 300 000 ₽ за месяц, на руки",100000.0,300000.0
Администратор в груминг салон,Администратор pet-сервиса,ООО Арчибальд,"до 4 000 ₽ за смену, на руки",,4000.0
Администратор в груминг салон BARBERDOG,Администратор pet-сервиса,Barberdog (ИП Носков Кирилл Александрович),"от 70 000 ₽ за месяц, на руки",70000.0,
Администратор в груминг-салон,Администратор pet-сервиса,ООО Шелби,"75 000 – 85 000 ₽ за месяц, на руки",75000.0,85000.0
Грумер,Грумер,Груминг Салон КусьХвост,"70 000 – 150 000 ₽ за месяц, на руки",70000.0,150000.0
Грумер,Грумер,Груминг салон Чёрная собака,"10 000 – 80 000 ₽ за месяц, на руки",10000.0,80000.0
Администратор (Ветеринарная клиника Синица),Администратор pet-сервиса,ИП Шакин Анатолий Викторович,"90 000 – 110 000 ₽ за месяц, на руки",90000.0,110000.0
Грумер,Грумер,Груминг салон Hamelton,"от 100 000 ₽ за месяц, на руки",100000.0,
Грумер,Грумер,ИП Уваркина Анна Геннадьевна,"от 130 000 ₽ за месяц, до вычета налогов",130000.0,
"Грумер в сеть салонов, филиал в Перово",Грумер,Сеть зоосалонов Puffy-Shop,"120 000 – 180 000 ₽ за месяц, на руки",120000.0,180000.0
"Грумер в сеть салонов, премиум филиал на Новой Риге",Грумер,Сеть зоосалонов Puffy-Shop,"120 000 – 180 000 ₽ за месяц, на руки",120000.0,180000.0
Грумер,Грумер,ИП Мавлянова Тамила Дамировна,"90 000 – 150 000 ₽ за месяц, на руки",90000.0,150000.0
Грумер-универсал,Грумер,ИП Сушков Александр Евгеньевич,"100 000 – 300 000 ₽ за месяц, на руки",100000.0,300000.0
Грумер в салон,Грумер,БЛЭКГРУМЕР.РФ,"100 000 – 300 000 ₽ за месяц, на руки",100000.0,300000.0
Помощник грумера,Грумер,Businka,"40 000 – 50 000 ₽ за месяц, на руки",40000.0,50000.0
Грумер-Универсал,Грумер,Блэкгрумер (ИП Ефанова Светлана Сергеевна),"100 000 – 300 000 ₽ за месяц, на руки",100000.0,300000.0
Грумер,Грумер,ЦаЦагрум (ИП Вердиева Эльвира Гамидулла Гызы),"от 80 000 ₽ за месяц, на руки",80000.0,
Грумер (мастер-универсал),Грумер,ООО Ветеринарная клиника ЭСПЕРАНС,"от 150 000 ₽ за месяц, на руки",150000.0,
Грумер,Грумер,Космопёс,"80 000 – 150 000 ₽ за месяц, на руки",80000.0,150000.0
"Ассистент ветеринарного врача (терапия | хирургия | стационар, СИНИЦА)",Ассистент ветеринарного врача,ИП Шакин Анатолий Викторович,"75 000 – 100 000 ₽ за месяц, на руки",75000.0,100000.0
Грумер,Грумер,Doc&Dog (ООО Петс Хелс),"от 60 000 ₽ за месяц, на руки",60000.0,
Грумер-универсал,Грумер,ИП Азимова Ирина Зуфаровна,"от 4 000 ₽ за смену, на руки",4000.0,
Грумер,Грумер,Груминг салон на Вернадского,"70 000 – 150 000 ₽ за месяц, на руки",70000.0,150000.0
Грумер,Грумер,ИП Дегтянникова Мария Александровна,"80 000 – 200 000 ₽ за месяц, на руки",80000.0,200000.0
Грумер в салон для собак Vafvaf,Грумер,ИП Насонова Елена Викторовна,"50 000 – 150 000 ₽ за месяц, на руки",50000.0,150000.0
Грумер,Грумер,ИП Шабуня Александр Анатольевич,"120 000 – 170 000 ₽ за месяц, до вычета налогов",120000.0,170000.0
Грумер в салон BARBERDOG,Грумер,Barberdog (ИП Носков Кирилл Александрович),"от 150 000 ₽ за месяц, на руки",150000.0,
Грумер в салон,Грумер,Monicagroom,"70 000 – 180 000 ₽ за месяц, на руки",70000.0,180000.0
Грумер,Грумер,Picasso Groom (ИП Бресская Анастасия Андреевна),"70 000 – 150 000 ₽ за месяц, на руки",70000.0,150000.0
